Date,Open,High,Low,Close,Volume,Adj Close
2017-02-10,199.80,200.90,197.10,197.70,77015300,197.70
2017-02-09,195.15,199.40,194.221,199.10,109465100,199.10
2017-02-08,192.70,200.00,191.25,195.90,98078200,195.90
2017-02-07,193.55,194.564,192.25,192.45,55309400,192.45
2017-02-06,194.50,194.558,191.90,192.85,53651800,192.85
2017-02-03,194.25,194.80,191.884,194.10,69213300,194.10
2017-02-02,191.00,196.47,186.50,193.20,94025100,193.20
2017-02-01,196.85,197.25,192.90,193.00,74170800,193.00
2017-01-31,196.55,198.21,193.70,194.35,92108100,194.35
2017-01-30,200.20,201.25,192.066,195.95,120110600,195.95
2017-01-27,193.50,194.06,191.033,193.35,90394000,193.35
2017-01-26,194.50,194.50,191.20,192.50,111821700,192.50
2017-01-25,198.00,200.20,192.00,192.90,140438300,192.90
2017-01-24,202.20,203.455,198.15,199.35,118642800,199.35
2017-01-23,205.00,205.15,202.436,203.20,51651500,203.20
2017-01-20,206.60,207.40,205.40,206.05,66111100,206.05
2017-01-19,208.15,209.343,204.666,206.10,56236600,206.10
2017-01-18,210.05,210.05,206.50,207.60,59018600,207.60
2017-01-17,210.25,210.25,205.346,207.65,78678300,207.65
2017-01-16,213.80,213.898,210.35,210.50,55444700,210.50
2017-01-13,215.50,215.694,212.088,214.70,96552600,214.70
2017-01-12,212.65,214.95,211.05,214.35,65561300,214.35
2017-01-11,213.00,215.15,210.92,213.10,104597300,213.10
2017-01-10,209.50,212.30,207.40,210.25,96925000,210.25
2017-01-09,211.00,211.70,206.85,207.95,68491600,207.95
2017-01-06,210.40,211.70,209.10,211.35,57543100,211.35
2017-01-05,205.95,210.00,205.50,209.45,83622300,209.45
2017-01-04,203.10,206.20,202.15,205.70,66228100,205.70
2017-01-03,201.15,204.256,199.85,202.40,61050300,202.40
2017-01-02,199.85,199.85,199.85,199.85,000,199.85
2016-12-30,199.70,200.35,198.10,199.85,31392300,199.85
2016-12-29,198.50,201.05,198.45,200.40,34443700,200.40
2016-12-28,200.00,200.40,198.65,199.40,42888800,199.40
2016-12-27,200.55,200.55,200.55,200.55,000,200.55
2016-12-26,200.55,200.55,200.55,200.55,000,200.55
2016-12-23,199.35,201.40,199.35,200.55,13374300,200.55
2016-12-22,199.25,200.55,198.45,199.75,39995600,199.75
2016-12-21,200.35,202.25,199.60,199.60,42783200,199.60
2016-12-20,202.75,203.264,200.45,200.95,66090500,200.95
2016-12-19,200.80,203.25,200.55,202.35,45136100,202.35
2016-12-16,199.05,201.773,198.25,200.45,95898200,200.45
2016-12-15,198.20,199.45,196.05,198.35,71734700,198.35
2016-12-14,200.05,200.82,198.60,198.90,59555500,198.90
2016-12-13,197.75,201.152,196.773,200.75,80274400,200.75
2016-12-12,199.00,199.00,197.10,198.00,52555600,198.00
2016-12-09,198.90,199.45,197.10,198.40,59583400,198.40
2016-12-08,196.10,198.437,195.05,198.35,89843800,198.35
2016-12-07,192.50,195.697,190.04,195.15,67309700,195.15
2016-12-06,190.15,192.00,189.10,191.75,60642300,191.75
2016-12-05,190.35,194.25,190.00,190.50,105355100,190.50
2016-12-02,191.10,192.716,188.85,191.40,100790100,191.40
2016-12-01,192.20,194.208,190.375,191.00,101634400,191.00
2016-11-30,192.75,197.75,192.50,193.90,138479200,193.90
2016-11-29,194.95,197.493,192.65,194.25,76382600,194.25
2016-11-28,197.85,198.65,194.70,195.25,74251600,195.25
2016-11-25,198.50,199.95,197.85,198.95,42240800,198.95
2016-11-24,198.85,202.739,197.00,199.40,57110600,199.40
2016-11-23,202.85,203.95,199.60,200.60,59431000,195.86
2016-11-22,200.20,203.50,199.65,203.05,129325400,198.252
2016-11-21,206.40,206.40,202.00,202.15,64652600,197.373
2016-11-18,206.00,206.75,204.40,204.90,86944300,200.058
2016-11-17,206.00,206.942,203.00,205.35,83263000,200.498
2016-11-16,202.00,206.139,201.55,203.00,67800000,198.203
2016-11-15,207.00,209.35,201.40,202.40,98201900,197.617
2016-11-14,205.60,207.75,202.75,204.60,85631800,199.765
